,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
314,Dakota Mathias,SG,25,PHI,8,2,15.4,2.4,6.0,.396,1.0,3.3,.308,1.4,2.8,.500,.479,0.3,0.8,.333,0.1,0.8,0.9,1.6,0.1,0.4,0.1,0.9,6.0
315,Wesley Matthews,SG,34,LAL,30,4,20.2,1.4,3.9,.356,1.0,3.1,.337,0.4,0.9,.423,.487,0.4,0.5,.800,0.4,1.1,1.5,1.1,0.5,0.4,0.5,1.4,4.2
316,Tyrese Maxey,SG,20,PHI,32,6,16.2,3.4,7.6,.450,0.5,1.7,.273,2.9,5.8,.503,.481,0.7,0.8,.880,0.3,1.6,1.9,1.8,0.5,0.2,0.7,1.3,8.0
317,Skylar Mays,SG,23,ATL,16,0,8.3,1.2,3.1,.388,0.5,1.4,.348,0.7,1.6,.423,.469,1.0,1.1,.889,0.4,0.4,0.8,1.1,0.4,0.0,0.3,0.4,3.9
318,Patrick McCaw,SF,25,TOR,3,0,6.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.3,0.0,0.3,1.3,0.0,0.0,0.0,1.0,0.0
319,CJ McCollum,SG,29,POR,13,13,33.8,9.5,20.0,.473,4.8,11.0,.441,4.6,9.0,.513,.594,2.9,3.5,.844,0.5,3.4,3.9,5.0,1.3,0.3,1.0,2.2,26.7
320,T.J. McConnell,PG,28,IND,32,2,25.3,3.1,5.9,.526,0.2,0.6,.316,2.9,5.3,.550,.542,0.3,0.6,.500,0.7,3.0,3.7,6.8,2.0,0.4,1.9,1.6,6.7
321,Jaden McDaniels,PF,20,MIN,30,1,19.1,1.9,5.0,.383,0.9,2.8,.337,1.0,2.2,.439,.477,0.4,0.8,.522,0.6,2.8,3.4,1.0,0.3,1.0,0.8,2.4,5.1
322,Jalen McDaniels,SF,23,CHO,17,1,12.5,1.7,3.9,.439,0.4,1.4,.261,1.4,2.5,.535,.485,0.8,1.1,.684,0.5,2.2,2.6,0.5,0.1,0.2,0.8,1.8,4.5
323,Doug McDermott,PF,29,IND,34,14,25.9,5.1,10.1,.506,1.6,4.4,.364,3.5,5.7,.617,.586,1.3,1.6,.818,1.0,3.0,4.0,1.3,0.3,0.1,1.0,1.7,13.2
324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Sean McDermott,SF,24,MEM,8,0,15.8,1.3,2.9,.435,0.6,1.9,.333,0.6,1.0,.625,.543,0.8,0.8,1.000,0.5,1.0,1.5,0.5,0.1,0.3,0.5,0.8,3.9
326,JaVale McGee,C,33,CLE,27,1,15.2,3.1,6.4,.489,0.2,0.6,.294,3.0,5.8,.510,.503,1.0,1.7,.609,1.6,3.6,5.1,1.0,0.5,1.2,1.3,2.6,7.5
327,Rodney McGruder,SG,29,DET,12,0,9.6,1.8,3.6,.512,0.7,1.3,.500,1.2,2.3,.519,.605,0.4,0.5,.833,0.3,0.7,1.0,1.0,0.3,0.1,0.5,0.7,4.8
328,Alfonzo McKinnie,SF,28,LAL,18,0,4.7,0.9,1.7,.533,0.3,0.7,.417,0.6,1.0,.611,.617,0.3,0.4,.625,0.4,0.7,1.1,0.1,0.1,0.0,0.1,0.4,2.3
329,Jordan McLaughlin,PG,24,MIN,24,0,19.5,2.2,5.9,.376,0.7,1.9,.348,1.5,4.0,.389,.433,0.3,0.4,.800,0.5,1.8,2.3,4.7,1.0,0.2,1.1,1.0,5.4
330,Ben McLemore,SG,27,HOU,24,2,15.5,2.1,5.8,.357,1.3,4.3,.314,0.8,1.6,.474,.471,0.7,1.0,.739,0.4,1.7,2.1,1.0,0.6,0.0,1.0,1.4,6.2
331,Nicolò Melli,PF,30,NOP,17,0,10.9,0.5,2.4,.225,0.4,1.9,.212,0.1,0.4,.286,.313,0.2,0.3,.800,0.2,2.1,2.2,0.9,0.5,0.1,0.4,1.3,1.7
332,De'Anthony Melton,PG,22,MEM,20,1,20.4,3.8,8.1,.472,1.7,3.9,.423,2.2,4.2,.518,.575,0.8,1.1,.762,0.5,2.6,3.1,2.9,1.2,0.7,1.3,1.7,10.1
333,Sam Merrill,SG,24,MIL,13,0,5.9,0.5,1.3,.353,0.4,0.8,.455,0.1,0.5,.167,.500,0.2,0.2,1.000,0.3,0.8,1.1,0.8,0.2,0.0,0.2,0.5,1.5
334,Chimezie Metu,C,23,SAC,11,0,6.5,1.4,2.7,.500,0.1,0.3,.333,1.3,2.5,.519,.517,0.5,0.8,.667,1.0,1.1,2.1,0.5,0.3,0.5,0.5,0.9,3.4
335,Khris Middleton,SF,29,MIL,36,36,33.4,7.6,15.3,.495,2.3,5.3,.432,5.3,9.9,.529,.571,3.2,3.6,.884,0.9,5.3,6.1,5.7,1.1,0.2,2.6,2.6,20.6
336,Darius Miller,SF,30,OKC,12,0,9.3,0.9,2.0,.458,0.8,1.8,.429,0.2,0.3,.667,.646,0.3,0.3,1.000,0.1,1.2,1.3,0.8,0.4,0.3,0.4,0.8,2.8
337,Patty Mills,PG,32,SAS,32,0,25.8,4.7,10.5,.448,2.8,6.8,.402,2.0,3.7,.534,.579,1.1,1.3,.900,0.3,1.5,1.8,2.7,0.6,0.0,1.1,1.4,13.3
338,Paul Millsap,PF,35,DEN,26,26,23.9,3.8,7.3,.524,1.2,3.0,.410,2.6,4.3,.604,.608,1.6,2.3,.695,1.6,3.6,5.2,1.7,0.8,0.5,1.0,2.1,10.4
339,Shake Milton,SG,24,PHI,28,1,25.1,4.8,10.9,.441,1.1,3.5,.313,3.7,7.4,.502,.492,3.1,3.5,.887,0.6,1.5,2.1,3.0,0.6,0.3,1.5,2.3,13.8
340,Donovan Mitchell,SG,24,UTA,34,34,33.9,8.5,20.1,.421,3.3,8.7,.382,5.1,11.4,.451,.504,4.4,5.4,.824,1.1,3.6,4.7,5.4,1.0,0.3,3.0,2.3,24.7
341,Adam Mokoka,SG,22,CHI,7,0,6.0,0.7,2.0,.357,0.1,1.1,.125,0.6,0.9,.667,.393,0.0,0.0,,0.1,0.4,0.6,0.6,0.3,0.1,0.3,0.7,1.6
342,Malik Monk,SG,22,CHO,22,0,22.7,4.7,10.1,.462,2.5,5.6,.439,2.2,4.5,.490,.583,1.7,2.1,.787,0.4,2.5,2.9,1.9,0.3,0.1,1.5,1.5,13.5
343,E'Twaun Moore,SG,31,PHO,22,1,15.2,1.8,4.3,.421,0.3,1.1,.240,1.5,3.2,.486,.453,0.4,0.5,.800,0.5,1.3,1.8,1.6,0.6,0.2,0.8,1.4,4.3
344,Ja Morant,PG,21,MEM,24,24,30.8,7.2,15.8,.454,0.9,3.8,.233,6.3,12.0,.522,.482,4.6,5.8,.797,0.8,2.5,3.3,7.7,1.0,0.2,2.9,1.5,19.8
345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Juwan Morgan,PF,23,UTA,15,0,4.7,0.4,0.9,.429,0.2,0.7,.300,0.2,0.3,.750,.536,0.1,0.3,.200,0.3,0.7,0.9,0.3,0.2,0.0,0.1,0.8,1.1
347,Marcus Morris,PF,31,LAC,28,2,24.4,4.3,9.8,.440,2.3,5.0,.464,2.0,4.8,.415,.558,1.4,1.5,.905,0.7,3.1,3.8,0.9,0.5,0.3,0.9,1.9,12.3
348,Markieff Morris,PF,31,LAL,31,7,17.4,1.9,4.7,.407,0.9,2.8,.322,1.0,1.9,.534,.503,0.6,0.9,.690,0.7,3.1,3.8,1.0,0.2,0.3,0.6,1.6,5.4
349,Monte Morris,PG,25,DEN,35,9,27.1,4.1,8.5,.477,1.1,3.2,.360,2.9,5.3,.545,.544,1.3,1.7,.754,0.2,2.0,2.2,3.4,0.7,0.3,0.7,0.9,10.6
350,Mychal Mulder,PG,26,GSW,34,2,10.6,1.4,3.2,.435,1.1,2.7,.409,0.3,0.4,.600,.611,0.2,0.4,.533,0.0,0.9,0.9,0.4,0.2,0.2,0.2,0.8,4.1
351,Dejounte Murray,PG,24,SAS,32,32,31.0,6.5,14.2,.456,1.1,3.3,.324,5.4,10.9,.496,.493,1.8,2.2,.812,0.6,6.4,7.0,5.4,1.6,0.1,1.7,2.1,15.8
352,Jamal Murray,PG,23,DEN,34,34,35.4,8.0,16.5,.487,2.6,6.6,.398,5.4,9.9,.546,.567,3.1,3.6,.846,0.7,3.5,4.2,4.6,1.1,0.3,2.3,2.1,21.8
353,Mike Muscala,C,29,OKC,34,0,18.6,3.4,7.7,.441,2.0,5.4,.368,1.4,2.4,.605,.568,0.9,1.0,.914,0.6,3.2,3.8,0.8,0.2,0.3,0.6,1.6,9.7
354,Sviatoslav Mykhailiuk,SF,23,DET,35,4,17.4,2.3,6.1,.377,1.5,4.6,.335,0.7,1.5,.510,.505,0.7,0.9,.800,0.3,1.7,2.0,1.4,0.7,0.2,1.1,0.9,6.8
355,Abdel Nader,SF,27,PHO,19,0,14.4,2.3,4.7,.489,0.7,1.7,.394,1.6,3.0,.544,.561,1.1,1.3,.800,0.2,2.3,2.4,0.8,0.3,0.4,0.7,1.3,6.4
356,Larry Nance Jr.,PF,28,CLE,19,18,33.4,3.7,7.6,.483,1.3,3.3,.381,2.4,4.3,.561,.566,0.6,1.1,.571,1.4,5.4,6.8,3.2,1.9,0.5,1.5,2.2,9.3
357,Aaron Nesmith,SF,21,BOS,18,0,15.6,1.4,3.5,.397,0.9,2.7,.354,0.4,0.8,.533,.532,0.4,0.7,.667,0.6,1.9,2.4,0.4,0.2,0.3,0.6,2.1,4.2
358,Raul Neto,PG,28,WAS,29,6,20.4,3.0,6.8,.449,1.0,2.6,.373,2.1,4.2,.496,.520,0.9,1.0,.833,0.4,1.8,2.3,2.1,1.1,0.1,0.7,1.3,7.9
359,Georges Niang,PF,27,UTA,36,0,13.4,2.0,4.6,.431,1.3,3.3,.385,0.8,1.4,.540,.566,0.1,0.1,1.000,0.3,1.8,2.2,0.7,0.3,0.1,0.6,1.5,5.4
360,Zeke Nnaji,PF,20,DEN,23,1,10.8,1.3,2.7,.508,0.7,1.6,.417,0.7,1.1,.640,.631,0.2,0.3,.714,0.4,1.0,1.4,0.1,0.1,0.1,0.2,0.7,3.6
361,Nerlens Noel,C,26,NYK,32,10,22.2,2.1,3.5,.613,0.0,0.1,.000,2.1,3.4,.624,.613,0.7,1.0,.667,2.1,4.0,6.1,0.6,1.0,2.0,1.2,2.6,4.9
362,Jaylen Nowell,SG,21,MIN,22,0,16.7,3.2,7.7,.418,1.1,3.3,.347,2.1,4.5,.469,.491,1.4,1.7,.838,0.5,1.5,1.9,1.0,0.5,0.2,0.5,1.8,9.0
363,Frank Ntilikina,PG,22,NYK,9,1,14.1,2.0,4.1,.486,1.4,2.3,.619,0.6,1.8,.313,.662,0.3,0.6,.600,0.1,0.7,0.8,0.8,0.9,0.0,0.6,1.7,5.8
364,Kendrick Nunn,PG,25,MIA,28,16,30.0,5.4,11.8,.461,2.1,5.7,.365,3.4,6.1,.550,.548,1.3,1.4,.923,0.5,2.9,3.4,2.7,1.1,0.3,1.8,1.9,14.2
365,Jusuf Nurkić,C,26,POR,12,12,23.3,4.2,8.6,.485,0.3,1.0,.250,3.9,7.6,.516,.500,1.3,2.3,.556,1.9,5.8,7.7,2.8,0.9,0.9,1.9,2.8,9.8
366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,David Nwaba,SF,28,HOU,28,9,22.9,3.6,7.4,.481,0.6,2.3,.270,3.0,5.2,.572,.522,1.6,2.4,.697,1.3,2.4,3.7,1.0,1.1,0.7,0.6,2.1,9.4
368,Jordan Nwora,SF,22,MIL,10,0,8.2,1.7,3.7,.459,0.8,1.6,.500,0.9,2.1,.429,.568,0.9,1.0,.900,0.1,1.4,1.5,0.0,0.4,0.2,1.0,0.9,5.1
369,Royce O'Neale,SF,27,UTA,36,36,32.8,2.6,5.9,.441,1.7,4.2,.411,0.9,1.7,.516,.587,0.6,0.8,.821,1.3,5.5,6.8,2.6,0.8,0.6,1.2,2.8,7.6
370,Semi Ojeleye,PF,26,BOS,34,6,19.0,1.9,4.4,.417,1.2,3.1,.383,0.6,1.3,.500,.553,0.6,0.8,.714,0.6,2.3,2.9,0.8,0.3,0.0,0.4,1.2,5.5
371,Jahlil Okafor,C,25,DET,12,0,10.0,2.1,3.5,.595,0.0,0.3,.000,2.1,3.3,.641,.595,0.1,0.2,.500,1.1,1.2,2.3,0.3,0.2,0.2,0.3,0.8,4.3
372,Chuma Okeke,PF,22,ORL,20,0,21.9,1.7,4.3,.384,0.9,2.2,.386,0.8,2.1,.381,.483,0.3,0.5,.500,0.9,2.6,3.5,2.0,0.8,0.4,0.7,1.0,4.4
373,Josh Okogie,SG,22,MIN,29,20,19.2,1.6,4.6,.351,0.4,1.9,.218,1.2,2.7,.443,.396,1.1,1.4,.756,0.9,1.6,2.5,1.0,0.8,0.5,0.8,2.0,4.7
374,Onyeka Okongwu,C,20,ATL,16,1,9.9,1.3,2.3,.568,0.0,0.1,.000,1.3,2.3,.583,.568,0.6,0.9,.600,0.8,1.7,2.4,0.3,0.4,0.4,0.5,1.6,3.2
375,Isaac Okoro,SG,20,CLE,31,31,33.2,3.0,7.3,.413,0.9,3.0,.301,2.1,4.3,.492,.476,1.2,1.7,.679,1.0,1.7,2.7,1.9,1.2,0.5,1.5,3.1,8.1
376,KZ Okpala,PF,21,MIA,19,6,10.5,0.7,2.1,.350,0.4,1.3,.333,0.3,0.8,.375,.450,0.1,0.3,.333,0.4,1.1,1.5,0.4,0.2,0.2,0.5,1.3,2.0
377,Victor Oladipo,SG,28,TOT,24,24,32.8,7.3,18.2,.399,2.5,7.5,.331,4.8,10.6,.447,.468,3.0,4.0,.747,0.3,4.9,5.2,4.5,1.5,0.5,2.2,2.3,20.0
378,Victor Oladipo,SG,28,IND,9,9,33.3,7.1,16.9,.421,2.8,7.7,.362,4.3,9.2,.470,.503,3.0,4.1,.730,0.1,5.6,5.7,4.2,1.7,0.2,2.0,2.6,20.0
379,Victor Oladipo,SG,28,HOU,15,15,32.4,7.3,18.9,.387,2.3,7.5,.313,5.0,11.5,.436,.449,2.9,3.9,.759,0.5,4.5,4.9,4.7,1.4,0.6,2.3,2.2,19.9
380,Kelly Olynyk,C,29,MIA,35,30,26.5,3.8,8.5,.441,1.9,5.7,.328,1.9,2.8,.673,.552,0.6,0.9,.733,0.9,4.9,5.9,2.1,0.8,0.5,1.3,2.8,10.1
381,Miye Oni,SG,23,UTA,26,0,7.9,0.5,1.5,.368,0.5,1.3,.394,0.0,0.2,.200,.539,0.2,0.2,.833,0.5,1.2,1.8,0.2,0.1,0.2,0.3,1.1,1.8
382,Cedi Osman,SF,25,CLE,35,15,25.8,3.9,10.4,.373,2.0,6.0,.332,1.9,4.4,.429,.468,1.1,1.4,.796,0.7,3.0,3.7,2.7,0.9,0.1,1.1,2.0,10.9
383,Daniel Oturu,C,21,LAC,10,0,4.2,0.9,1.5,.600,0.0,0.1,.000,0.9,1.4,.643,.600,0.2,0.2,1.000,0.5,0.9,1.4,0.4,0.0,0.3,0.2,0.6,2.0
384,Kelly Oubre Jr.,SF,25,GSW,35,35,30.3,5.8,13.2,.436,1.7,5.3,.321,4.1,7.9,.514,.501,2.2,3.0,.740,1.5,4.5,5.9,1.4,1.1,0.8,1.3,2.2,15.5
385,Jabari Parker,PF,25,SAC,2,0,12.5,2.0,3.5,.571,0.0,0.5,.000,2.0,3.0,.667,.571,0.0,0.0,,0.5,2.5,3.0,0.5,0.0,0.5,1.5,2.0,4.0
386,Eric Paschall,PF,24,GSW,34,2,17.6,3.9,7.8,.494,0.4,1.3,.289,3.5,6.5,.536,.519,1.8,2.5,.718,0.8,2.5,3.3,1.3,0.3,0.1,1.0,1.7,9.9
387,Anžejs Pasečņiks,C,25,WAS,1,0,6.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0
388,Patrick Patterson,PF,31,LAC,10,1,13.0,1.6,3.8,.421,1.0,2.8,.357,0.6,1.0,.600,.553,0.3,0.4,.750,0.4,1.6,2.0,0.5,0.3,0.1,0.7,1.3,4.5
389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Justin Patton,C,23,HOU,6,2,21.3,2.7,5.2,.516,1.0,2.8,.353,1.7,2.3,.714,.613,0.5,0.7,.750,0.8,3.2,4.0,0.8,1.2,1.7,0.3,3.2,6.8
391,Chris Paul,PG,35,PHO,34,34,31.8,6.0,12.4,.486,1.5,3.9,.391,4.5,8.4,.530,.548,2.4,2.6,.954,0.5,4.2,4.7,8.8,1.2,0.3,2.4,2.5,16.0
392,Cameron Payne,PG,26,PHO,24,0,16.4,2.5,5.3,.480,1.0,2.4,.421,1.5,2.9,.529,.575,0.5,0.6,.929,0.1,1.7,1.8,3.6,0.6,0.2,1.0,1.8,6.6
393,Elfrid Payton,PG,26,NYK,33,33,28.2,5.3,11.9,.443,0.5,1.8,.250,4.8,10.1,.477,.462,1.7,2.2,.743,1.3,2.5,3.8,3.7,0.7,0.2,1.9,1.9,12.7
394,Norvel Pelle,C,27,TOT,4,0,8.0,0.8,2.0,.375,0.0,0.0,,0.8,2.0,.375,.375,0.8,1.0,.750,1.0,1.0,2.0,0.3,0.0,0.8,0.8,2.5,2.3
395,Norvel Pelle,C,27,BRK,3,0,9.3,1.0,2.3,.429,0.0,0.0,,1.0,2.3,.429,.429,0.0,0.0,,1.0,1.3,2.3,0.0,0.0,1.0,1.0,3.0,2.0
396,Norvel Pelle,C,27,SAC,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,3.0,4.0,.750,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
397,Reggie Perry,PF,20,BRK,14,0,10.5,1.5,3.6,.412,0.1,0.9,.167,1.4,2.8,.487,.431,0.4,0.6,.667,1.2,2.4,3.6,0.9,0.1,0.4,0.8,1.9,3.6
398,Theo Pinson,SG,25,NYK,11,0,2.3,0.1,0.6,.143,0.0,0.5,.000,0.1,0.1,1.000,.143,0.0,0.0,,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.2
399,Mason Plumlee,C,30,DET,34,34,28.0,4.3,7.0,.607,0.0,0.2,.000,4.3,6.9,.622,.607,1.9,2.8,.674,2.8,6.4,9.1,3.8,0.8,0.9,2.1,3.5,10.4
400,Jakob Poeltl,C,25,SAS,32,14,23.4,3.0,5.0,.610,0.0,0.0,,3.0,5.0,.610,.610,0.5,1.5,.319,3.0,4.3,7.3,1.8,0.6,1.6,1.2,2.2,6.5
401,Vincent Poirier,C,27,PHI,6,0,3.7,0.2,0.7,.250,0.0,0.0,,0.2,0.7,.250,.250,0.3,0.7,.500,0.3,0.3,0.7,0.2,0.0,0.3,0.3,0.3,0.7
402,Aleksej Pokusevski,PF,19,OKC,17,0,17.4,1.4,5.5,.247,0.6,3.3,.179,0.8,2.2,.351,.301,0.0,0.0,,0.3,3.2,3.5,1.2,0.5,1.1,1.3,0.9,3.3
403,Jordan Poole,SG,21,GSW,16,0,10.6,2.3,4.8,.468,1.1,3.1,.367,1.1,1.8,.643,.584,1.2,1.3,.950,0.1,1.2,1.3,0.9,0.3,0.2,0.5,0.9,6.8
404,Michael Porter Jr.,SF,22,DEN,26,19,28.6,5.5,10.9,.502,2.4,5.7,.416,3.1,5.2,.597,.611,1.3,1.7,.756,1.2,5.8,7.0,0.9,0.9,1.1,1.1,2.3,14.6
405,Otto Porter,SF,27,CHI,16,6,23.3,4.0,9.0,.444,1.8,4.4,.400,2.3,4.6,.486,.542,1.9,2.3,.833,1.3,5.0,6.3,2.0,0.6,0.2,0.9,1.6,11.6
406,Bobby Portis,C,25,MIL,36,2,21.6,4.6,8.4,.546,1.1,2.1,.500,3.6,6.3,.561,.609,0.6,0.9,.697,1.9,5.2,7.1,1.0,0.8,0.4,0.8,1.9,10.9
407,Kristaps Porziņģis,C,25,DAL,20,20,30.1,7.6,16.1,.469,2.2,6.3,.349,5.4,9.8,.546,.537,2.9,3.4,.838,1.9,6.5,8.4,1.4,0.4,1.6,1.3,3.0,20.2
408,Dwight Powell,C,29,DAL,23,8,15.0,1.3,2.9,.463,0.0,0.3,.125,1.3,2.6,.508,.470,1.9,2.5,.754,1.0,2.2,3.2,0.9,0.6,0.3,0.7,2.3,4.6
409,Norman Powell,SG,27,TOR,34,23,29.6,6.2,12.7,.488,2.6,5.9,.438,3.6,6.8,.532,.590,3.4,3.8,.899,0.4,2.6,3.0,1.7,1.2,0.1,1.7,2.1,18.4
410,Taurean Prince,PF,26,TOT,29,10,21.4,2.7,7.2,.380,1.3,3.5,.386,1.4,3.7,.374,.474,1.6,1.8,.849,0.5,3.1,3.6,1.7,0.7,0.7,1.1,1.8,8.3
411,Taurean Prince,PF,26,BRK,12,4,18.2,2.5,6.2,.405,1.1,3.1,.351,1.4,3.1,.459,.493,2.0,2.3,.889,0.2,2.7,2.8,0.6,0.7,0.7,0.9,1.8,8.1
412,Taurean Prince,PF,26,CLE,17,6,23.6,2.9,7.9,.366,1.5,3.8,.406,1.4,4.1,.329,.463,1.2,1.5,.808,0.8,3.4,4.1,2.5,0.6,0.6,1.2,1.9,8.5
413,Payton Pritchard,SG,23,BOS,30,1,21.4,2.9,6.3,.457,1.4,3.4,.402,1.5,2.9,.523,.566,0.6,0.6,.944,0.5,1.8,2.3,2.3,0.6,0.2,1.1,2.0,7.7
414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Immanuel Quickley,PG,21,NYK,33,0,18.8,3.7,9.6,.389,1.8,4.7,.381,1.9,4.9,.398,.483,3.0,3.2,.942,0.5,1.9,2.3,2.4,0.5,0.3,1.0,1.9,12.2
416,Jahmi'us Ramsey,SG,19,SAC,4,0,4.0,0.5,1.0,.500,0.3,0.8,.333,0.3,0.3,1.000,.625,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.3,0.3,0.0,1.3
417,Chasson Randle,PG,27,ORL,8,0,18.9,1.9,4.4,.429,0.9,2.9,.304,1.0,1.5,.667,.529,0.6,0.9,.714,0.1,1.8,1.9,2.9,0.3,0.1,0.8,2.3,5.3
418,Julius Randle,PF,26,NYK,37,37,36.7,8.3,17.2,.483,1.9,4.6,.408,6.4,12.6,.510,.537,4.8,5.9,.805,1.4,9.6,11.1,5.5,0.8,0.2,3.2,3.1,23.2
419,Cam Reddish,SF,21,ATL,26,21,28.8,3.7,10.1,.365,1.3,4.8,.262,2.4,5.3,.460,.428,2.6,3.2,.817,0.8,3.2,4.0,1.3,1.3,0.3,1.3,2.6,11.2
420,J.J. Redick,SG,36,NOP,31,0,18.6,2.8,6.9,.407,1.6,4.5,.364,1.2,2.4,.486,.526,1.5,1.5,.957,0.1,1.6,1.7,1.3,0.3,0.1,0.8,1.2,8.7
421,Paul Reed,PF,21,PHI,5,0,11.0,1.8,4.4,.409,0.0,0.6,.000,1.8,3.8,.474,.409,0.0,0.0,,1.4,0.6,2.0,0.6,0.2,0.8,1.0,0.8,3.6
422,Naz Reid,C,21,MIN,34,13,20.6,4.6,9.0,.515,0.9,2.8,.340,3.7,6.3,.592,.567,1.6,2.2,.733,1.1,3.6,4.8,1.3,0.6,1.2,1.1,3.1,11.9
423,Nick Richards,PF,23,CHO,8,0,2.9,0.4,0.8,.500,0.0,0.0,,0.4,0.8,.500,.500,0.6,0.8,.833,0.3,0.5,0.8,0.0,0.0,0.0,0.1,0.5,1.4
424,Josh Richardson,SG,27,DAL,25,25,31.5,4.6,10.7,.427,1.5,5.3,.288,3.0,5.4,.563,.498,2.2,2.3,.948,0.9,2.4,3.3,2.5,0.9,0.2,1.5,2.8,12.8
425,Austin Rivers,SG,28,NYK,21,2,21.0,2.8,6.4,.430,1.3,3.7,.364,1.4,2.8,.517,.533,0.5,0.7,.714,0.2,2.0,2.2,2.0,0.6,0.0,1.0,1.5,7.3
426,Andre Roberson,SG,29,BRK,5,0,12.6,0.4,2.8,.143,0.2,1.6,.125,0.2,1.2,.167,.179,0.2,0.4,.500,1.4,1.6,3.0,0.8,0.6,0.2,0.4,0.8,1.2
427,Duncan Robinson,SF,26,MIA,36,36,33.4,4.2,9.8,.429,3.3,8.3,.391,0.9,1.5,.642,.595,1.2,1.4,.840,0.1,3.9,3.9,1.6,0.5,0.2,1.3,2.5,12.8
428,Glenn Robinson III,SF,27,SAC,23,2,16.0,1.8,4.3,.424,0.7,1.9,.364,1.1,2.4,.473,.505,0.9,1.0,.913,0.5,1.5,2.0,0.9,0.2,0.1,0.5,1.0,5.3
429,Jerome Robinson,SG,23,WAS,13,3,17.0,1.7,5.2,.328,0.7,2.4,.290,1.0,2.8,.361,.396,1.2,1.3,.882,0.2,2.4,2.5,1.4,0.5,0.2,0.8,1.6,5.2
430,Mitchell Robinson,C,22,NYK,27,27,28.8,3.8,5.8,.660,0.0,0.0,,3.8,5.8,.660,.660,0.8,1.7,.478,3.6,4.8,8.4,0.5,1.2,1.5,0.8,2.9,8.4
431,Isaiah Roby,PF,22,OKC,30,12,21.3,3.3,6.3,.521,0.6,1.8,.340,2.7,4.6,.591,.568,1.4,1.9,.724,1.5,3.9,5.4,1.8,0.8,0.6,1.3,2.7,8.6
432,Rajon Rondo,PG,34,ATL,20,2,15.0,1.5,3.7,.392,0.7,1.7,.382,0.8,2.0,.400,.480,0.1,0.1,.500,0.2,2.0,2.2,3.5,0.6,0.1,1.4,0.9,3.6
433,Derrick Rose,PG,32,TOT,25,3,23.5,5.0,11.7,.430,0.9,2.4,.377,4.1,9.3,.444,.469,2.5,3.0,.851,0.3,1.9,2.2,4.5,1.2,0.4,1.9,1.2,13.5
434,Derrick Rose,PG,32,DET,15,0,22.8,5.3,12.3,.429,0.9,2.6,.333,4.4,9.7,.455,.465,2.8,3.3,.840,0.4,1.5,1.9,4.2,1.2,0.3,1.9,1.1,14.2
435,Derrick Rose,PG,32,NYK,10,3,24.6,4.7,10.9,.431,1.0,2.2,.455,3.7,8.7,.425,.477,2.1,2.4,.875,0.1,2.5,2.6,4.9,1.1,0.6,1.9,1.2,12.5
436,Terrence Ross,SG,29,ORL,35,2,29.5,5.6,13.6,.410,2.1,6.1,.344,3.5,7.5,.462,.486,2.3,2.6,.900,0.3,3.1,3.5,2.2,1.1,0.5,1.7,1.8,15.5
437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Terry Rozier,SG,26,CHO,33,33,33.5,7.4,15.2,.490,3.4,7.7,.439,4.1,7.5,.543,.601,2.3,2.8,.824,0.5,3.3,3.8,3.2,1.4,0.4,2.1,2.0,20.5
439,Ricky Rubio,PG,30,MIN,34,19,25.4,2.7,6.9,.390,0.8,2.4,.329,1.9,4.5,.422,.447,1.8,2.2,.824,0.4,2.7,3.1,6.4,1.2,0.0,2.1,2.3,8.0
440,D'Angelo Russell,PG,24,MIN,20,19,29.2,7.0,16.3,.426,3.0,7.4,.399,4.0,8.9,.449,.517,2.4,3.2,.750,0.5,2.2,2.6,5.1,1.1,0.5,2.7,2.0,19.3
441,Domantas Sabonis,PF,24,IND,35,35,36.5,7.8,14.9,.525,0.9,2.7,.333,6.9,12.2,.568,.556,4.2,5.9,.714,2.6,8.5,11.1,6.0,1.0,0.6,3.4,3.4,20.8
442,Luka Šamanić,PF,21,SAS,9,1,11.0,1.7,3.8,.441,0.9,2.2,.400,0.8,1.6,.500,.559,0.4,0.9,.500,0.7,2.4,3.1,0.1,0.3,0.2,0.7,1.1,4.7
443,JaKarr Sampson,PF,27,IND,15,0,6.5,1.0,2.1,.469,0.1,0.3,.200,0.9,1.8,.519,.484,0.5,0.7,.800,0.5,1.4,1.9,0.1,0.1,0.2,0.4,0.7,2.6
