,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
94,Alex Caruso,PG,26,LAL,29,0,19.9,2.1,5.0,.428,1.0,2.4,.400,1.2,2.6,.453,.524,0.6,0.8,.696,0.6,2.2,2.8,2.4,1.0,0.2,1.1,1.8,5.8
95,Willie Cauley-Stein,C,27,DAL,31,10,17.3,2.3,3.6,.625,0.0,0.2,.167,2.2,3.4,.651,.629,1.0,1.5,.646,1.3,3.3,4.5,0.8,0.3,0.7,0.5,2.4,5.5
96,Chris Chiozza,PG,25,BRK,15,0,9.1,1.1,3.1,.362,0.6,1.5,.391,0.5,1.6,.333,.457,0.7,0.9,.769,0.2,0.9,1.1,2.4,0.3,0.3,0.7,0.7,3.5
97,Marquese Chriss,PF,23,GSW,2,0,13.5,2.5,7.0,.357,0.5,2.5,.200,2.0,4.5,.444,.393,1.0,2.0,.500,1.5,5.0,6.5,1.0,0.0,1.0,1.0,1.5,6.5
98,Gary Clark,SF,26,ORL,30,11,19.1,1.1,3.7,.295,0.9,3.2,.274,0.2,0.6,.412,.411,0.3,0.3,.889,1.0,2.2,3.2,0.8,0.4,0.2,0.5,1.0,3.3
99,Brandon Clarke,PF,24,MEM,27,16,26.9,5.2,10.1,.515,0.6,1.7,.326,4.6,8.4,.553,.542,1.3,2.0,.660,1.6,4.1,5.7,1.6,1.2,0.6,0.6,1.6,12.2
100,Jordan Clarkson,SG,28,UTA,36,0,26.0,6.6,14.7,.447,3.2,8.6,.370,3.4,6.2,.554,.555,1.6,1.7,.967,0.9,3.1,4.0,2.3,0.9,0.2,1.7,1.5,17.9
101,Nicolas Claxton,C,21,BRK,5,0,15.2,4.0,5.8,.690,0.0,0.2,.000,4.0,5.6,.714,.690,2.0,2.8,.714,0.8,2.6,3.4,1.0,1.0,1.4,0.4,1.6,10.0
102,Amir Coffey,SG,23,LAC,20,0,7.7,1.1,2.0,.525,0.6,1.1,.524,0.5,1.0,.526,.663,0.2,0.5,.333,0.2,0.6,0.8,0.4,0.2,0.0,0.4,0.6,2.8
103,John Collins,PF,23,ATL,36,36,30.7,7.0,13.1,.536,1.4,3.6,.388,5.6,9.5,.592,.589,2.6,3.0,.853,2.1,5.5,7.6,1.4,0.4,1.0,1.3,3.3,18.0
104,Mike Conley,PG,33,UTA,29,29,29.4,5.6,12.5,.444,2.8,6.6,.422,2.8,5.9,.468,.555,2.2,2.6,.829,1.0,2.5,3.5,5.7,1.4,0.1,1.9,1.9,16.1
